Camera,Image,Corner,xProjected,yProjected,xOriginal,yOriginal,deltaX,deltaY,RMS error
Camera L,2_L,30,1339.631,451.66113,1339.6313,451.56613,-0.00036621094,0.09500122,0.0950019265359109
Camera L,2_L,31,1353.1677,493.37985,1353.2137,493.41464,-0.046020508,-0.03479004,0.05769084812420987
Camera L,2_L,32,1367.5942,537.64343,1367.5928,537.62775,0.0014648438,0.015686035,0.015754284056567758
Camera L,2_L,33,1383.0,584.71387,1383.0844,584.72046,-0.084350586,-0.006591797,0.08460776048354449
Camera L,2_L,34,1399.4819,634.88806,1399.5354,634.87665,-0.053466797,0.011413574,0.05467145548199192
Camera L,2_L,35,1417.1426,688.5011,1417.0929,688.439,0.049682617,0.062072754,0.07950716463379602
Camera L,2_L,36,1249.5679,340.48993,1249.5737,340.50867,-0.005859375,-0.018737793,0.01963255359677803
Camera L,2_L,37,1259.415,375.85275,1259.4734,375.82587,-0.05834961,0.026885986,0.06424588060764061
Camera L,2_L,38,1269.8445,413.14313,1269.8334,413.1475,0.011108398,-0.0043640137,0.011934870387841016
Camera L,2_L,39,1280.9149,452.53842,1280.8905,452.55304,0.024414062,-0.01461792,0.028455755667285594
Camera L,2_L,40,1292.692,494.24097,1292.7094,494.3404,-0.017333984,-0.09942627,0.10092596339502297
Camera L,2_L,41,1305.2499,538.4822,1305.2302,538.49255,0.01965332,-0.010375977,0.022224173526394057
Camera L,2_L,42,1318.67,585.5266,1318.6326,585.4761,0.037475586,0.05053711,0.06291596749108815
Camera L,2_L,43,1333.0426,635.6763,1333.0674,635.65216,-0.024780273,0.024108887,0.034573116296550244
Camera L,2_L,44,1348.4644,689.2742,1348.4702,689.29517,-0.005859375,-0.020996094,0.021798353794482143
Camera L,2_L,45,1195.6583,341.3512,1195.6063,341.35025,0.052001953,0.0009460449,0.05201055786865685
Camera L,2_L,46,1204.0405,376.72403,1204.1212,376.65967,-0.08068848,0.06436157,0.10321357582450276
Camera L,2_L,47,1212.918,414.01758,1212.8743,414.06375,0.043701172,-0.046173096,0.06357473704277691
Camera L,2_L,48,1222.3411,453.4086,1222.3976,453.4641,-0.056518555,-0.055511475,0.07922039407419793
Camera L,2_L,49,1232.3672,495.09933,1232.3789,495.11667,-0.01171875,-0.017333984,0.0209235779893221
Camera L,2_L,50,1243.061,539.3218,1243.0651,539.32355,-0.0040283203,-0.0017700195,0.0044000379181441795
Camera L,2_L,51,1254.495,586.34235,1254.5073,586.38855,-0.012329102,-0.046203613,0.04782029512227775
Camera L,2_L,52,1266.7493,636.46655,1266.6554,636.4415,0.09387207,0.025024414,0.09715033136292635
Camera L,2_L,53,1279.9117,690.04395,1279.9674,690.127,-0.055664062,-0.08306885,0.09999460637925016
Camera L,4_L,0,1189.4729,545.29156,1189.4408,545.46344,0.032104492,-0.171875,0.1748476881277452
Camera L,4_L,1,1155.9423,581.81177,1155.9305,581.8492,0.01171875,-0.03741455,0.03920685796802946
Camera L,4_L,2,1120.8328,620.1303,1120.8544,620.17365,-0.021606445,-0.04333496,0.04842269425069927
