Camera,Image,Corner,xProjected,yProjected,xOriginal,yOriginal,deltaX,deltaY,RMS error
Camera L,23_L,41,941.40533,479.6525,941.4731,479.64618,-0.06774902,0.0063171387,0.06804290130303545
Camera L,23_L,42,907.8197,455.15042,907.79553,455.17392,0.024169922,-0.023498535,0.03371003230394656
Camera L,23_L,43,874.7533,431.01883,874.74036,430.96548,0.012939453,0.053344727,0.054891614106363874
Camera L,23_L,44,842.17737,407.23767,842.1513,407.29492,0.026062012,-0.057250977,0.06290391698605252
Camera L,23_L,45,1142.5381,581.18896,1142.4802,581.22595,0.057861328,-0.036987305,0.06867309517150713
Camera L,23_L,46,1106.2328,555.1596,1106.2734,555.24054,-0.040649414,-0.08093262,0.09056745214724213
Camera L,23_L,47,1070.6106,529.60455,1070.5624,529.59717,0.048217773,0.007385254,0.04878007431861765
Camera L,23_L,48,1035.6354,504.49704,1035.5817,504.49622,0.053710938,0.0008239746,0.05371725738797357
Camera L,23_L,49,1001.2712,479.8113,1001.38654,479.79755,-0.115356445,0.013763428,0.11617461606622664
Camera L,23_L,50,967.48315,455.52267,967.4813,455.50876,0.0018310547,0.013916016,0.014035962814992774
Camera L,23_L,51,934.2384,431.60825,934.31006,431.58447,-0.07165527,0.023773193,0.07549597958769146
Camera L,23_L,52,901.5062,408.04712,901.4808,408.03204,0.02545166,0.015075684,0.02958146785621205
Camera L,23_L,53,869.2586,384.8205,869.2936,384.77283,-0.034973145,0.047668457,0.05912193023019317
Camera L,3_L,0,1681.9401,256.83252,1681.9093,256.80203,0.030761719,0.03048706,0.04330986263246426
Camera L,3_L,1,1690.0363,290.29108,1690.151,290.35764,-0.114746094,-0.06655884,0.1326527230486969
Camera L,3_L,2,1698.3179,324.55783,1698.2847,324.5637,0.033203125,-0.005859375,0.03371616504225013
Camera L,3_L,3,1706.7925,359.6605,1706.8195,359.66483,-0.026977539,-0.004333496,0.02732337464998165
Camera L,3_L,4,1715.467,395.62857,1715.3871,395.633,0.079956055,-0.004425049,0.08007840993877052
Camera L,3_L,5,1724.3474,432.49332,1724.3773,432.5392,-0.029907227,-0.045898438,0.054782376414337045
Camera L,3_L,6,1733.4375,470.28723,1733.4219,470.3017,0.015625,-0.014465332,0.021292873356461482
Camera L,3_L,7,1742.739,509.0438,1742.7672,509.1079,-0.028198242,-0.06411743,0.07004417108264702
Camera L,3_L,8,1752.2506,548.797,1752.2821,548.7282,-0.03149414,0.06878662,0.07565368553614826
Camera L,3_L,9,1642.0405,256.06937,1642.0623,256.0824,-0.021728516,-0.013031006,0.02533644617883366
Camera L,3_L,10,1649.6411,289.52307,1649.5923,289.50385,0.048828125,0.019226074,0.052476925604312115
Camera L,3_L,11,1657.4236,323.78018,1657.4082,323.71835,0.015380859,0.061828613,0.06371301480385219
Camera L,3_L,12,1665.3966,358.8691,1665.4152,358.83392,-0.018554688,0.035186768,0.03977920362224016
Camera L,3_L,13,1673.5686,394.82043,1673.5425,394.83304,0.026123047,-0.01260376,0.02900462615278871
Camera L,3_L,14,1681.947,431.66666,1681.9038,431.67844,0.04321289,-0.011779785,0.04478970031709992
Camera L,3_L,15,1690.5377,469.44205,1690.4893,469.45102,0.048461914,-0.008972168,0.04928546350254402
Camera L,3_L,16,1699.345,508.18228,1699.3243,508.17245,0.020629883,0.00982666,0.022850718034318183
Camera L,3_L,17,1708.3706,547.92413,1708.3488,547.87354,0.021850586,0.050598145,0.055114610910513895
Camera L,3_L,18,1601.9625,255.38957,1601.9199,255.38177,0.04260254,0.007797241,0.043310198626575015
Camera L,3_L,19,1609.0604,288.83206,1609.0778,288.80054,-0.017333984,0.03152466,0.035975979335337076
Camera L,3_L,20,1616.3348,323.0724,1616.3876,323.03696,-0.052734375,0.03543091,0.06353159499602458
Camera L,3_L,21,1623.7952,358.13962,1623.7429,358.21182,0.052246094,-0.07220459,0.08912439119925564
Camera L,3_L,22,1631.4508,394.0651,1631.4297,393.99933,0.021118164,0.06576538,0.0690728758120676
Camera L,3_L,23,1639.3105,430.88245,1639.3645,430.9003,-0.053955078,-0.017852783,0.05683196568457434
Camera L,3_L,24,1647.3817,468.62744,1647.4078,468.54492,-0.026123047,0.08251953,0.08655568505738473
Camera L,3_L,25,1655.6708,507.33768,1655.6428,507.37634,0.027954102,-0.03866577,0.04771240591972356
Camera L,3_L,26,1664.1818,547.0523,1664.1257,547.0331,0.056030273,0.019226074,0.059237095399301117
Camera L,3_L,27,1561.7675,254.78105,1561.7656,254.7803,0.0018310547,0.00074768066,0.0019778239668961097
Camera L,3_L,28,1568.3593,288.2069,1568.3516,288.27368,0.0076904297,-0.06677246,0.06721386946477896
Camera L,3_L,29,1575.1204,322.42453,1575.1516,322.45392,-0.03125,-0.029388428,0.04289804406611777
Camera L,3_L,30,1582.061,357.46338,1582.1428,357.4499,-0.08178711,0.0134887695,0.08289196682058757
Camera L,3_L,31,1589.1912,393.35547,1589.2407,393.36707,-0.049560547,-0.01159668,0.05089922186363508
Camera L,3_L,32,1596.5203,430.13538,1596.5571,430.1644,-0.036865234,-0.029022217,0.046918382040821646
Camera L,3_L,33,1604.0573,467.84012,1604.1437,467.7719,-0.08642578,0.06820679,0.11009805389949659
Camera L,3_L,34,1611.8097,506.50897,1611.8413,506.54282,-0.03161621,-0.033843994,0.04631415262568402
